ts,type,ch,tx_rx,data,fcs,port,sim
19.59138,ETH,1,Rx,3c:020000001001A81374BD389D0800450000280837400080061CE5A9FE6EB6A9FE1301FF2634587EA92600000058385010201489AB0000000000000000,FCS:32f25107,Ports:Port6,Sim:0
19.801067,ETH,1,Rx,3c:FFFFFFFFFFFFA81374BD389D080045000024B1EC000080117028A9FE6EB6FFFFFFFFF68534580010B93D02FD00010000000000000000000000000000,FCS:aab790bc,Ports:Port6,Sim:0
21.233724,ETH,1,Rx,45:020000001001A81374BD389D0800450000370838400080061CD5A9FE6EB6A9FE1301FF2634587EA926000000583850182014B930000002FD8001000000070E801A0122DD02,FCS:64065e9d,Ports:Port6,Sim:0
21.233925,ETH,1,Rx,3c:A81374BD389D02000000100108004500002857B0000040064D6CA9FE1301A9FE6EB63458FF26000058387EA9260F50103FF169BF0000000000000000,FCS:697e4cb,Ports:Port5,Sim:0
21.235903,ETH,1,Rx,43:A81374BD389D02000000100108004500003557B1000040064D5EA9FE1301A9FE6EB63458FF26000058387EA9260F50184000BE15000002FD8002000000051A010E8000,FCS:5f169c5b,Ports:Port5,Sim:0
21.256958,ETH,1,Rx,46:A81374BD389D02000000100108004500003857B3000040064D59A9FE1301A9FE6EB63458FF26000058457EA9260F501840005898000002FD8001000000081A010E8062DD028E,FCS:8a65cf46,Ports:Port5,Sim:0
21.257117,ETH,1,Rx,3c:020000001001A81374BD389D0800450000280839400080061CE3A9FE6EB6A9FE1301FF2634587EA9260F0000585550102014897F0000000000000000,FCS:7afb6f69,Ports:Port6,Sim:0
21.261123,ETH,1,Rx,45:020000001001A81374BD389D080045000037083A400080061CD3A9FE6EB6A9FE1301FF2634587EA9260F0000585550182014B104000002FD8001000000070E801A0122DD0A,FCS:df508459,Ports:Port6,Sim:0
21.261295,ETH,1,Rx,3c:A81374BD389D02000000100108004500002857B4000040064D68A9FE1301A9FE6EB63458FF26000058557EA9261E50103FF169930000000000000000,FCS:5d4ac67c,Ports:Port5,Sim:0
21.262906,ETH,1,Rx,43:A81374BD389D02000000100108004500003557B5000040064D5AA9FE1301A9FE6EB63458FF26000058557EA9261E50184000BDE9000002FD8002000000051A010E8000,FCS:5af70417,Ports:Port5,Sim:0
21.286957,ETH,1,Rx,46:A81374BD389D02000000100108004500003857B6000040064D56A9FE1301A9FE6EB63458FF26000058627EA9261E5018400050F8000002FD8001000000081A010E8062DD0A02,FCS:1d3ed1c1,Ports:Port5,Sim:0
21.287115,ETH,1,Rx,3c:020000001001A81374BD389D080045000028083B400080061CE1A9FE6EB6A9FE1301FF2634587EA9261E000058725010201489530000000000000000,FCS:86499ada,Ports:Port6,Sim:0
21.316607,ETH,1,Rx,45:020000001001A81374BD389D080045000037083C400080061CD1A9FE6EB6A9FE1301FF2634587EA9261E0000587250182014C537000002FD8001000000070E8016352249FA,FCS:ea8ce392,Ports:Port6,Sim:0
21.316921,ETH,1,Rx,3c:A81374BD389D02000000100108004500002857B7000040064D65A9FE1301A9FE6EB63458FF26000058727EA9262D50103FF169670000000000000000,FCS:493830d0,Ports:Port5,Sim:0
21.318903,ETH,1,Rx,43:A81374BD389D02000000100108004500003557B8000040064D57A9FE1301A9FE6EB63458FF26000058727EA9262D50184000C189000002FD80020000000516350E8000,FCS:dbfa853f,Ports:Port5,Sim:0
21.341957,ETH,1,Rx,46:A81374BD389D02000000100108004500003857B9000040064D53A9FE1301A9FE6EB63458FF260000587F7EA9262D50184000652D000002FD80010000000816350E806249FA00,FCS:40e98060,Ports:Port5,Sim:0
21.342178,ETH,1,Rx,3c:020000001001A81374BD389D080045000028083D400080061CDFA9FE6EB6A9FE1301FF2634587EA9262D0000588F5010201389280000000000000000,FCS:34bf3f53,Ports:Port6,Sim:0
21.541056,ETH,1,Rx,44:020000001001A81374BD389D080045000036083E400080061CD0A9FE6EB6A9FE1301FF2634587EA9262D0000588F50182013990E000002FD8001000000060E801FFF3E80,FCS:517e0c,Ports:Port6,Sim:0
21.541231,ETH,1,Rx,3c:A81374BD389D02000000100108004500002857BA000040064D62A9FE1301A9FE6EB63458FF260000588F7EA9263B50103FF2693B0000000000000000,FCS:274a6947,Ports:Port5,Sim:0
21.543186,ETH,1,Rx,43:A81374BD389D02000000100108004500003557BB000040064D54A9FE1301A9FE6EB63458FF260000588F7EA9263B50184000B794000002FD8002000000051FFF0E8000,FCS:6d201b5e,Ports:Port5,Sim:0
21.594855,ETH,1,Rx,3c:020000001001A81374BD389D080045000028083F400080061CDDA9FE6EB6A9FE1301FF2634587EA9263B0000589C50102013890D0000000000000000,FCS:684b3342,Ports:Port6,Sim:0
21.934646,ETH,1,Rx,3c:FFFFFFFFFFFFA81374BD389D080045000024B1ED000080117027A9FE6EB6FFFFFFFFF68734580010B93B02FD00010000000000000000000000000000,FCS:8616e1ed,Ports:Port6,Sim:0
